,type,long_name,cf_role,standard_name,axis,valid_min,valid_max,comment,ancillary_variables,units,reference_datum,quality_control_conventions,flag_values,flag_meanings,positive,observation_type,metadata_uuid,dataset_name,cdm_data_type,institution,author,principal_investigator,data_mode,standard_name_vocabulary,title
TRAJECTORY_ID,double,trajectory identifier,trajectory_id,,,,,,,,,,,,,,,,,,,,,,
TIME,timestamp[ns],time,,time,T,21915.0,90000.0,"The valid_min is set to January 1st, 2010, dates before this time are flagged by the quality control impossible date test",,,,,,,,,,,,,,,,,
LATITUDE,float,latitude,,latitude,Y,-90.0,90.0,,LATITUDE_quality_control,degrees_north,WGS84 geographic coordinate system,,,,,,,,,,,,,,
LATITUDE_quality_control,int32,quality flag for latitude,,latitude status_flag,,,,,,,,IMOS standard flags,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",No_QC_performed Good_data Probably_good_data Bad_data_that_are_potentially_correctable Bad_data Value_changed Not_used Not_used Not_used Missing_value,,,,,,,,,,,
LONGITUDE,float,longitude,,longitude,X,-180.0,180.0,,LONGITUDE_quality_control,degrees_east,WGS84 geographic coordinate system,,,,,,,,,,,,,,
LONGITUDE_quality_control,int32,quality flag for longitude,,longitude status_flag,,,,,,,,IMOS standard flags,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",No_QC_performed Good_data Probably_good_data Bad_data_that_are_potentially_correctable Bad_data Value_changed Not_used Not_used Not_used Missing_value,,,,,,,,,,,
DEPTH,float,depth,,depth,Z,-5.0,3000.0,Depth computed using the Gibbs-Seawater toolbox (TEOS10) v3.06 from the mean latitude in the data (or a default of -33 if no latitude was recorded) and pressure measurements from the Moana,DEPTH_quality_control,m,sea surface,,,,down,,,,,,,,,,
DEPTH_quality_control,int32,quality flag for depth,,depth status_flag,,,,,,,,IMOS standard flags,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",No_QC_performed Good_data Probably_good_data Bad_data_that_are_potentially_correctable Bad_data Value_changed Not_used Not_used Not_used Missing_value,,,,,,,,,,,
TEMPERATURE,float,sea_water_temperature,,sea_water_temperature,,-2.0,40.0,,TEMPERATURE_quality_control,degrees_Celsius,,,,,,measured,,,,,,,,,
TEMPERATURE_quality_control,int32,quality flag for sea_water_temperature,,sea_water_temperature status_flag,,,,,,,,IMOS standard flags,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",No_QC_performed Good_data Probably_good_data Bad_data_that_are_potentially_correctable Bad_data Value_changed Not_used Not_used Not_used Missing_value,,,,,,,,,,,
PRES,float,sea_water_pressure,,sea_water_pressure,,-5.0,3000.0,Measure from the Moana,PRES_quality_control,dbar,,,,,,,,,,,,,,,
PRES_quality_control,int32,quality flag for sea_water_pressure,,sea_water_pressure status_flag,,,,,,,,IMOS standard flags,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",No_QC_performed Good_data Probably_good_data Bad_data_that_are_potentially_correctable Bad_data Value_changed Not_used Not_used Not_used Missing_value,,,,,,,,,,,
filename,string,Filename of the source file,,,,,,,,1,,,,,,,,,,,,,,,
instrument,string,instrument name,,,,,,,,1,,,,,,,,,,,,,,,
instrument_serial_number,string,instrument serial number,,,,,,,,1,,,,,,,,,,,,,,,
timestamp,int64,Partition timestamp,,,,,,,,1,,,,,,,,,,,,,,,
polygon,string,Spatial partition polygon,,,,,,,,1,,,,,,,,,,,,,,,
global_attributes,,,,,,,,,,,,,,,,,bdb84466-dc53-49ad-a60f-83d9fa0baed5,vessel_fishsoop_realtime_qc,Trajectory,UNSW,"Lago, Veronique","Roughan, Moninya",Near Real-Time,CF Standard Name Table v79,my dataset
